Orthogroup	1_Dpini_HiFi_PB_ONT_primary_purged_correct_scaffIII_tsebra	2_GCF_021155765.1_iyDipSimi1.1_protein	3_GCF_021155785.1_iyNeoFabr1.1_protein	4_GCF_021901455.1_iyNeoLeco1.1_protein	5_GCF_021155775.1_iyNeoPine1.1_protein	6_GCF_021901495.1_iyNeoVirg1.1_protein	7_GCF_917208135.1_iyAthRosa1.1_protein	8_GCF_000612105.2_Oabi_2.0_protein	9_GCF_000143395.1_Attacep1.0_protein	GCF_001465965.1_Pdom_r1.2_protein	GCF_003254395.2_Amel_HAv3.1_protein	Total
OG0002366	2	2	0	3	5	8	3	1	2	1	1	28
OG0002367	1	2	3	3	3	2	5	5	1	3	0	28
OG0002368	1	1	4	3	3	4	2	4	1	4	1	28
OG0002369	2	1	4	4	4	4	2	1	1	3	2	28
OG0002370	2	3	5	5	1	1	3	3	1	2	2	28
OG0002371	1	2	4	4	4	4	1	1	1	3	3	28
OG0002372	1	2	3	3	2	2	3	3	1	3	5	28
OG0002373	1	0	3	1	3	3	1	2	0	8	6	28
OG0002374	1	0	5	5	5	5	1	1	3	1	1	28
OG0002375	1	0	4	5	6	5	1	2	1	1	2	28
OG0002376	1	0	4	5	6	6	2	1	1	1	1	28
OG0002377	2	0	3	3	3	3	2	6	1	3	2	28
OG0002378	0	4	3	3	3	3	4	1	0	3	4	28
OG0002379	0	3	4	4	4	4	1	1	1	2	4	28
OG0002380	0	1	1	1	1	1	5	6	1	4	7	28
OG0002381	0	4	3	3	3	3	4	2	1	4	1	28
OG0002382	0	0	7	7	7	7	0	0	0	0	0	28
OG0002383	1	1	3	3	3	3	5	2	1	2	3	27
OG0002384	1	2	3	3	3	3	3	1	1	2	5	27
OG0002385	1	4	3	3	3	3	6	1	1	1	1	27
OG0002386	1	1	3	3	3	3	12	0	1	0	0	27
OG0002387	10	0	2	4	1	1	1	0	1	7	0	27
OG0002388	24	3	0	0	0	0	0	0	0	0	0	27
OG0002389	1	1	1	1	1	1	1	4	1	2	13	27
OG0002390	13	2	2	6	1	1	0	2	0	0	0	27
OG0002391	1	2	4	4	4	5	2	1	1	1	2	27
OG0002392	5	2	4	6	5	4	1	0	0	0	0	27
OG0002393	2	2	5	3	3	3	5	1	1	1	1	27
OG0002394	3	4	5	4	5	4	1	0	1	0	0	27
OG0002395	1	2	1	3	3	3	6	1	1	1	5	27
OG0002396	1	2	2	2	2	2	8	0	1	5	2	27
OG0002397	1	2	1	4	4	4	3	1	1	2	4	27
OG0002398	1	3	3	3	3	3	1	1	1	2	6	27
OG0002399	1	1	4	5	4	5	1	2	1	2	1	27
OG0002400	1	3	4	5	4	5	1	1	1	1	1	27
OG0002401	1	3	3	3	3	3	4	1	1	2	3	27
OG0002402	1	2	4	4	4	4	1	3	1	2	1	27
OG0002403	2	2	4	2	4	4	2	4	1	1	1	27
OG0002404	3	3	5	3	3	5	1	1	2	0	1	27
OG0002405	1	2	2	2	2	3	2	3	1	3	6	27
OG0002406	3	3	2	3	2	2	1	4	3	2	2	27
OG0002407	1	1	3	4	3	4	2	3	1	3	2	27
OG0002408	1	1	2	2	2	2	2	0	1	6	8	27
OG0002409	1	1	3	1	1	3	11	2	1	2	1	27
OG0002410	1	3	3	3	3	3	6	2	1	1	1	27
OG0002411	1	2	3	2	2	3	4	3	1	3	3	27
OG0002412	1	1	3	3	4	4	1	6	1	1	2	27
OG0002413	1	1	5	5	5	5	2	1	1	0	1	27
OG0002414	1	2	3	3	3	3	2	5	1	2	2	27
OG0002415	1	2	3	2	2	3	4	1	1	2	6	27
OG0002416	2	3	4	3	4	5	2	2	1	1	0	27
OG0002417	1	2	2	2	2	2	3	2	1	3	7	27
OG0002418	1	2	4	4	4	4	3	2	1	1	1	27
OG0002419	1	3	3	3	3	3	4	2	1	2	2	27
OG0002420	1	3	3	3	3	3	3	2	1	1	4	27
OG0002421	1	3	3	3	3	3	4	1	1	1	4	27
OG0002422	1	2	4	5	5	4	2	1	1	1	1	27
OG0002423	1	4	3	3	3	3	3	1	1	2	3	27
OG0002424	1	2	4	4	4	4	1	4	1	1	1	27
OG0002425	1	2	3	2	2	2	4	5	1	3	2	27
OG0002426	2	2	3	3	3	3	1	2	1	4	3	27
OG0002427	3	1	3	4	4	3	4	1	1	1	2	27
OG0002428	1	2	3	3	3	3	3	2	1	2	4	27
OG0002429	2	2	3	3	3	3	2	2	1	3	3	27
OG0002430	3	0	2	2	2	2	2	2	1	1	10	27
OG0002431	1	2	3	2	2	4	2	1	1	5	4	27
OG0002432	2	3	3	3	3	3	2	4	1	1	2	27
OG0002433	1	2	5	6	6	6	1	0	0	0	0	27
OG0002434	1	1	2	2	2	2	4	2	1	8	2	27
OG0002435	1	2	4	3	3	4	2	2	1	2	3	27
OG0002436	3	4	2	2	2	2	1	2	2	4	3	27
OG0002437	1	3	3	3	3	3	6	2	1	1	1	27
OG0002438	2	3	4	4	4	4	1	1	1	1	2	27
OG0002439	2	2	3	3	3	3	4	2	1	2	2	27
OG0002440	2	2	2	2	2	2	3	2	1	2	7	27
OG0002441	1	2	4	4	4	4	3	1	1	1	2	27
OG0002442	1	2	4	2	3	3	3	2	1	2	4	27
OG0002443	1	2	2	2	2	2	2	7	1	1	5	27
OG0002444	1	4	2	2	2	2	3	3	1	2	5	27
OG0002445	1	4	3	3	3	3	1	2	1	6	0	27
OG0002446	1	2	4	4	4	4	3	2	1	0	2	27
OG0002447	1	2	2	3	3	2	7	1	1	3	2	27
OG0002448	2	3	3	3	3	3	3	3	1	1	2	27
OG0002449	1	3	4	5	4	4	1	1	1	2	1	27
OG0002450	1	3	3	3	3	3	2	2	1	4	2	27
OG0002451	1	2	3	3	3	3	4	3	1	2	2	27
OG0002452	1	1	3	2	3	2	13	1	1	0	0	27
OG0002453	1	1	2	4	4	2	3	3	1	1	5	27
OG0002454	1	3	3	3	3	3	3	2	1	2	3	27
OG0002455	1	2	3	4	4	4	3	1	1	3	1	27
OG0002456	1	4	3	3	3	3	4	3	1	1	1	27
OG0002457	1	2	3	2	3	3	2	1	1	4	5	27
OG0002458	1	3	3	4	4	4	2	1	3	1	1	27
OG0002459	1	2	4	4	4	4	2	2	1	1	2	27
OG0002460	1	2	4	5	4	5	1	2	1	1	1	27
OG0002461	1	2	1	1	1	1	5	1	1	8	5	27
OG0002462	1	2	2	2	2	2	4	4	1	2	5	27
OG0002463	1	4	3	3	3	3	1	3	1	3	2	27
OG0002464	1	3	3	3	3	3	6	1	1	1	2	27
OG0002465	1	1	4	4	4	4	4	1	1	2	1	27
OG0002466	1	3	3	3	3	3	1	4	1	1	4	27
OG0002467	1	2	4	4	4	4	4	1	0	1	2	27
OG0002468	2	2	4	4	4	4	2	1	1	2	1	27
OG0002469	1	2	2	2	2	2	5	3	1	2	5	27
OG0002470	1	4	3	3	4	3	5	1	1	1	1	27
OG0002471	1	1	3	3	3	3	2	5	1	3	2	27
OG0002472	1	1	6	1	4	6	2	2	0	4	0	27
OG0002473	1	2	1	2	2	2	1	10	1	3	2	27
OG0002474	1	2	2	2	2	2	3	5	1	2	5	27
OG0002475	1	1	1	1	1	1	6	8	1	3	3	27
OG0002476	2	1	2	2	2	2	5	1	1	5	4	27
OG0002477	1	5	4	4	4	4	1	1	1	1	1	27
OG0002478	1	2	3	4	3	2	3	1	1	4	3	27
OG0002479	2	2	2	3	2	3	3	1	1	4	4	27
OG0002480	2	3	3	3	3	3	3	1	1	4	1	27
OG0002481	1	2	3	3	3	3	3	0	1	7	1	27
OG0002482	1	3	3	3	3	3	3	3	1	2	2	27
OG0002483	1	3	3	3	4	3	2	2	1	1	4	27
OG0002484	1	2	1	1	1	2	3	5	1	6	4	27
OG0002485	1	1	4	4	4	4	2	1	1	1	4	27
OG0002486	2	1	5	5	5	4	1	1	0	2	1	27
OG0002487	1	3	3	3	3	3	1	2	1	1	6	27
OG0002488	2	3	3	3	3	3	4	1	1	2	2	27
OG0002489	1	2	3	3	3	3	1	4	1	5	1	27
OG0002490	2	3	4	4	3	4	3	1	1	1	1	27
OG0002491	1	2	2	3	2	2	6	4	1	2	2	27
OG0002492	1	1	2	2	2	2	4	2	1	4	6	27
OG0002493	1	2	2	2	2	2	8	4	1	1	2	27
OG0002494	3	1	3	3	3	3	1	2	1	4	3	27
OG0002495	1	2	3	3	3	3	1	1	1	6	3	27
OG0002496	2	2	2	1	2	3	5	1	1	5	3	27
OG0002497	2	3	3	3	3	3	2	2	1	2	3	27
OG0002498	1	3	2	3	3	3	1	4	1	1	5	27
OG0002499	2	4	2	1	3	2	1	6	1	4	1	27
OG0002500	2	1	3	3	3	4	3	4	1	3	0	27
OG0002501	1	5	3	3	3	3	3	2	1	1	2	27
OG0002502	2	1	5	5	5	1	1	2	1	2	2	27
OG0002503	1	3	3	3	3	3	5	1	1	1	3	27
OG0002504	1	3	3	3	3	3	2	5	1	1	2	27
OG0002505	3	1	1	5	5	4	1	2	1	2	2	27
OG0002506	1	3	3	4	5	3	3	2	1	1	1	27
OG0002507	1	2	4	4	4	4	1	2	1	1	3	27
OG0002508	1	3	2	2	2	2	1	10	1	3	0	27
OG0002509	1	2	4	4	4	3	5	1	1	1	1	27
OG0002510	1	4	4	4	4	4	2	0	1	0	3	27
OG0002511	1	2	4	4	4	4	2	2	2	1	1	27
OG0002512	1	3	3	3	5	3	2	2	1	2	2	27
OG0002513	1	1	5	3	3	3	5	3	1	1	1	27
OG0002514	1	3	4	4	4	4	2	1	1	1	2	27
OG0002515	1	2	2	2	2	2	4	2	1	5	4	27
OG0002516	1	3	4	4	3	3	3	0	2	2	2	27
OG0002517	1	3	3	3	3	3	4	2	1	2	2	27
OG0002518	3	5	2	2	6	2	2	0	4	1	0	27
OG0002519	1	3	4	4	4	4	1	3	1	1	1	27
OG0002520	1	2	4	4	4	4	2	2	1	2	1	27
OG0002521	1	2	3	3	3	3	5	1	1	2	3	27
OG0002522	5	2	4	5	5	4	1	1	0	0	0	27
OG0002523	1	2	2	2	2	3	2	1	0	0	12	27
OG0002524	1	4	4	4	4	4	1	1	1	1	2	27
OG0002525	1	4	4	4	4	4	1	2	1	1	1	27
OG0002526	2	3	3	3	3	3	2	2	1	2	3	27
OG0002527	3	3	2	2	2	2	3	2	1	3	4	27
OG0002528	2	3	1	1	1	1	3	5	3	3	4	27
OG0002529	1	2	2	2	6	5	2	1	1	3	2	27
OG0002530	2	4	4	3	4	3	3	1	1	0	2	27
OG0002531	1	2	3	2	2	2	7	3	1	3	1	27
OG0002532	1	2	2	2	2	2	2	2	1	4	7	27
OG0002533	2	1	3	3	3	3	3	3	1	4	1	27
OG0002534	1	1	3	3	4	2	1	6	1	4	1	27
OG0002535	1	3	3	3	3	3	2	3	1	4	1	27
OG0002536	2	1	2	2	2	2	2	5	1	6	2	27
OG0002537	1	1	5	5	5	5	1	1	1	1	1	27
OG0002538	1	3	5	3	5	5	1	1	1	1	1	27
OG0002539	1	1	1	1	1	1	6	4	1	5	5	27
OG0002540	1	2	2	2	2	2	4	5	1	1	5	27
OG0002541	1	3	3	3	3	3	2	4	1	2	2	27
OG0002542	1	1	4	4	4	3	5	1	1	2	1	27
OG0002543	1	2	4	3	3	4	5	1	1	2	1	27
OG0002544	1	2	3	3	3	2	4	2	1	2	4	27
OG0002545	1	0	6	5	5	4	1	1	1	1	2	27
OG0002546	1	0	4	3	4	4	2	1	1	2	5	27
OG0002547	1	0	5	1	5	1	2	2	1	7	2	27
OG0002548	2	0	3	3	3	3	4	4	1	3	1	27
OG0002549	1	0	8	7	6	4	1	0	0	0	0	27
OG0002550	2	0	3	2	2	2	1	4	1	3	7	27
OG0002551	2	0	2	2	5	2	8	1	1	3	1	27
OG0002552	0	1	4	4	4	4	1	3	0	2	4	27
OG0002553	0	3	3	3	4	3	3	2	1	2	3	27
OG0002554	0	2	4	3	3	4	2	1	0	3	5	27
OG0002555	0	2	1	1	1	1	2	0	0	9	10	27
OG0002556	0	0	2	14	2	5	3	0	0	1	0	27
OG0002557	0	0	0	0	0	0	0	7	5	14	1	27
OG0002558	1	2	3	3	3	3	3	1	1	4	2	26
OG0002559	1	2	3	3	3	3	2	2	1	4	2	26
OG0002560	1	1	1	1	1	1	5	4	2	3	6	26
OG0002561	1	2	4	5	4	4	2	1	1	1	1	26
OG0002562	1	1	1	1	1	1	9	6	1	1	3	26
OG0002563	1	4	3	3	3	3	1	2	0	3	3	26
OG0002564	1	3	3	3	3	3	2	2	1	2	3	26
OG0002565	1	1	1	1	1	1	2	4	1	2	11	26
OG0002566	1	1	3	3	3	3	4	2	0	1	5	26
OG0002567	1	2	3	3	3	2	4	2	1	3	2	26
OG0002568	15	0	2	1	0	0	7	0	0	1	0	26
OG0002569	26	0	0	0	0	0	0	0	0	0	0	26
OG0002570	2	1	4	5	5	4	1	1	1	1	1	26
OG0002571	1	1	5	5	5	4	3	0	1	0	1	26
OG0002572	5	0	4	2	2	4	1	0	1	7	0	26
OG0002573	13	0	1	1	1	1	0	0	1	5	3	26
OG0002574	14	2	2	0	1	1	3	0	2	1	0	26
OG0002575	26	0	0	0	0	0	0	0	0	0	0	26
OG0002576	1	1	4	4	4	4	2	1	1	1	3	26
OG0002577	3	6	2	5	5	2	3	0	0	0	0	26
OG0002578	1	2	3	3	3	3	4	3	1	2	1	26
OG0002579	1	4	3	3	3	3	3	1	1	2	2	26
OG0002580	1	1	6	6	6	6	0	0	0	0	0	26
OG0002581	1	2	3	3	3	3	1	2	1	2	5	26
OG0002582	1	2	2	2	2	2	5	4	1	1	4	26
OG0002583	2	2	4	2	4	4	2	1	1	1	3	26
OG0002584	3	2	2	3	3	2	6	1	0	2	2	26
OG0002585	1	2	3	3	1	3	1	1	1	5	5	26
OG0002586	2	4	3	5	5	5	1	0	1	0	0	26
OG0002587	1	2	3	4	4	3	1	4	1	1	2	26
OG0002588	1	3	4	4	4	4	1	1	1	2	1	26
OG0002589	1	1	4	4	4	5	4	1	1	1	0	26
OG0002590	1	2	4	4	4	4	1	2	1	2	1	26
OG0002591	2	1	2	2	2	2	8	1	1	1	4	26
OG0002592	1	3	3	3	3	3	2	1	1	4	2	26
OG0002593	2	2	3	3	3	2	1	1	1	6	2	26
OG0002594	2	3	2	3	3	2	5	1	1	2	2	26
OG0002595	2	3	3	2	2	3	2	1	1	3	4	26
OG0002596	3	1	1	1	1	1	5	2	1	5	5	26
OG0002597	1	1	2	2	2	2	6	3	1	3	3	26
OG0002598	1	1	4	4	4	5	1	1	1	3	1	26
OG0002599	1	2	3	3	3	3	3	2	1	3	2	26
OG0002600	1	2	2	2	2	2	5	5	1	2	2	26
OG0002601	2	1	3	3	3	3	2	0	1	2	6	26
OG0002602	1	3	3	3	3	3	2	1	1	3	3	26
OG0002603	2	3	3	4	3	3	3	1	1	1	2	26
OG0002604	1	2	5	5	5	5	3	0	0	0	0	26
OG0002605	1	1	5	5	5	5	3	1	0	0	0	26
OG0002606	2	2	2	2	2	2	5	2	1	4	2	26
OG0002607	2	2	2	2	2	2	3	2	1	6	2	26
OG0002608	1	3	3	3	3	2	3	2	2	2	2	26
OG0002609	1	1	3	3	3	3	1	2	1	7	1	26
OG0002610	1	3	4	4	4	4	1	1	1	1	2	26
OG0002611	1	2	3	3	3	3	6	1	2	1	1	26
OG0002612	2	1	1	1	1	1	8	2	1	3	5	26
OG0002613	1	2	1	1	1	1	14	1	1	1	2	26
OG0002614	1	1	1	1	1	1	3	6	1	7	3	26
OG0002615	1	4	4	4	4	4	2	1	1	1	0	26
OG0002616	1	2	3	3	4	3	1	2	1	2	4	26
OG0002617	1	2	2	5	2	3	1	2	1	1	6	26
OG0002618	1	3	3	3	3	3	2	2	1	3	2	26
OG0002619	1	3	3	3	3	3	4	2	1	1	2	26
OG0002620	3	4	2	2	2	2	3	2	2	2	2	26
OG0002621	2	3	4	4	4	4	1	0	1	1	2	26
OG0002622	1	1	3	3	3	3	4	0	1	4	3	26
OG0002623	1	4	3	4	3	4	2	1	1	1	2	26
OG0002624	2	3	3	2	3	1	1	4	1	3	3	26
OG0002625	2	1	3	4	4	4	1	1	1	1	4	26
OG0002626	2	3	3	3	3	3	3	2	1	2	1	26
OG0002627	1	1	3	3	3	2	2	1	6	3	1	26
OG0002628	3	3	3	3	3	3	2	1	2	2	1	26
OG0002629	1	4	4	3	3	3	3	1	0	1	3	26
OG0002630	1	3	4	3	3	5	2	1	1	1	2	26
OG0002631	1	1	4	4	4	4	3	1	1	1	2	26
OG0002632	1	2	3	6	4	3	2	1	1	1	2	26
OG0002633	2	2	3	2	2	3	2	2	1	3	4	26
OG0002634	1	3	4	4	4	4	1	1	1	1	2	26
OG0002635	1	2	4	4	4	4	3	1	1	1	1	26
OG0002636	2	2	1	2	2	2	3	2	1	1	8	26
OG0002637	1	2	2	2	2	3	4	5	1	3	1	26
OG0002638	1	2	4	4	4	4	3	1	1	1	1	26
OG0002639	1	2	4	4	4	3	2	1	2	2	1	26
OG0002640	1	4	4	4	4	4	1	1	1	1	1	26
OG0002641	1	3	4	4	4	4	1	2	1	1	1	26
OG0002642	1	2	3	3	3	3	4	3	1	1	2	26
OG0002643	1	1	2	2	2	2	7	5	1	1	2	26
OG0002644	1	3	3	3	3	3	3	1	1	4	1	26
OG0002645	1	3	3	3	3	3	1	1	2	3	3	26
OG0002646	1	2	4	3	5	4	1	2	1	2	1	26
OG0002647	1	1	3	2	2	2	4	3	1	4	3	26
OG0002648	2	2	4	4	4	4	1	1	1	1	2	26
OG0002649	6	6	3	3	3	3	2	0	0	0	0	26
OG0002650	2	1	3	3	2	3	2	5	1	1	3	26
OG0002651	2	2	2	2	2	2	2	4	1	3	4	26
OG0002652	1	5	2	2	2	2	5	1	1	4	1	26
OG0002653	1	3	3	3	3	4	4	2	1	1	1	26
OG0002654	1	3	3	3	3	1	4	3	1	1	3	26
OG0002655	1	1	4	4	4	4	1	1	0	4	2	26
OG0002656	2	3	3	3	3	3	4	1	0	3	1	26
OG0002657	1	1	5	5	5	4	1	1	1	1	1	26
OG0002658	1	2	2	2	2	3	9	1	1	2	1	26
OG0002659	1	3	3	3	3	3	3	1	1	2	3	26
OG0002660	1	2	4	3	3	4	2	2	1	2	2	26
OG0002661	1	1	3	3	3	3	6	2	0	2	2	26
OG0002662	1	2	4	4	4	4	1	2	1	2	1	26
OG0002663	1	4	4	4	4	4	1	1	1	1	1	26
OG0002664	1	4	2	5	2	2	2	2	1	1	4	26
OG0002665	2	4	3	3	3	3	2	1	1	2	2	26
OG0002666	1	3	3	3	3	3	2	2	1	1	4	26
OG0002667	2	2	3	3	3	3	2	0	1	2	5	26
OG0002668	1	3	3	3	3	3	3	1	1	2	3	26
OG0002669	2	3	3	3	3	3	5	1	1	1	1	26
OG0002670	1	4	4	4	4	4	1	1	1	1	1	26
OG0002671	1	2	3	3	2	3	2	1	1	4	4	26
OG0002672	1	2	3	3	3	3	4	3	1	2	1	26
OG0002673	1	1	2	1	2	2	2	7	1	3	4	26
OG0002674	1	2	1	1	1	1	1	2	13	1	2	26
OG0002675	1	2	4	4	4	4	2	1	1	1	2	26
OG0002676	2	2	2	2	2	2	3	5	1	3	2	26
OG0002677	1	0	3	5	2	1	2	3	2	3	4	26
OG0002678	1	2	4	4	4	4	1	1	1	1	3	26
OG0002679	1	1	4	4	4	4	1	2	1	1	3	26
OG0002680	1	2	4	4	3	4	3	2	1	1	1	26
OG0002681	1	1	4	4	4	4	1	3	1	3	0	26
OG0002682	1	2	5	5	5	5	1	0	0	2	0	26
OG0002683	2	3	1	1	1	4	4	4	1	2	3	26
OG0002684	2	3	3	3	3	3	3	2	1	1	2	26
OG0002685	1	2	4	4	4	4	2	2	1	1	1	26
OG0002686	1	2	3	3	3	3	8	1	2	0	0	26
OG0002687	2	1	2	2	2	2	7	1	1	1	5	26
OG0002688	1	2	4	4	4	4	2	1	1	1	2	26
OG0002689	2	3	3	3	3	3	2	1	1	2	3	26
OG0002690	1	2	1	1	2	1	4	2	2	2	8	26
OG0002691	1	1	3	4	4	3	1	0	1	0	8	26
OG0002692	1	2	4	4	4	4	2	1	1	2	1	26
OG0002693	1	2	4	4	4	4	2	1	1	2	1	26
OG0002694	1	2	3	3	3	4	4	4	1	1	0	26
OG0002695	1	2	2	2	2	2	2	4	1	6	2	26
OG0002696	1	4	4	5	4	3	2	0	1	2	0	26
OG0002697	1	3	4	4	4	1	2	3	1	2	1	26
OG0002698	2	2	3	3	3	3	3	1	0	1	5	26
OG0002699	1	2	2	2	2	2	6	2	1	3	3	26
OG0002700	1	2	4	4	6	4	1	1	1	1	1	26
OG0002701	1	3	4	4	4	4	2	1	1	1	1	26
OG0002702	1	2	3	3	3	3	2	2	2	3	2	26
OG0002703	1	2	3	3	3	2	3	3	1	2	3	26
OG0002704	1	1	3	2	3	3	5	5	1	1	1	26
OG0002705	1	1	3	3	3	3	4	2	1	3	2	26
OG0002706	1	2	3	3	3	3	3	3	1	1	3	26
OG0002707	2	3	2	3	3	2	4	2	1	1	3	26
OG0002708	1	3	4	4	4	4	2	1	1	1	1	26
OG0002709	1	2	4	3	3	4	2	3	1	2	1	26
OG0002710	1	2	3	3	3	3	6	1	1	3	0	26
OG0002711	1	2	2	3	2	2	3	6	1	1	3	26
OG0002712	2	2	2	3	3	3	1	3	1	3	3	26
OG0002713	1	4	4	4	4	4	1	1	1	1	1	26
OG0002714	3	1	2	2	2	2	1	3	1	1	8	26
OG0002715	1	1	2	3	3	3	3	4	1	3	2	26
OG0002716	2	3	3	3	3	3	2	2	1	2	2	26
OG0002717	1	1	3	2	2	2	3	3	1	5	3	26
OG0002718	1	3	3	3	3	3	4	1	1	2	2	26
OG0002719	3	0	2	2	2	2	4	1	3	4	3	26
OG0002720	1	2	2	3	3	2	2	1	1	5	4	26
OG0002721	1	1	5	4	4	5	3	0	0	0	3	26
OG0002722	1	3	2	2	3	3	6	1	1	2	2	26
OG0002723	1	1	5	5	11	3	0	0	0	0	0	26
OG0002724	1	1	5	7	1	5	1	1	1	1	2	26
OG0002725	1	1	5	2	2	5	2	2	1	1	4	26
OG0002726	2	2	4	4	5	4	1	1	1	1	1	26
OG0002727	2	3	3	3	3	3	5	1	1	1	1	26
OG0002728	3	0	2	2	2	2	3	2	2	8	0	26
OG0002729	1	0	2	1	1	2	4	2	1	6	6	26
OG0002730	1	0	3	3	3	3	1	3	1	5	3	26
OG0002731	1	0	3	3	3	3	3	5	1	3	1	26
OG0002732	0	2	4	4	3	4	2	2	0	2	3	26
OG0002733	0	1	4	4	5	4	3	1	1	1	2	26
OG0002734	0	0	6	7	7	6	0	0	0	0	0	26
OG0002735	0	0	3	8	6	9	0	0	0	0	0	26
OG0002736	0	0	0	0	0	0	0	1	23	1	1	26
OG0002737	0	0	0	0	0	0	0	0	0	0	26	26
OG0002738	1	2	4	4	4	4	1	2	0	1	2	25
OG0002739	2	2	2	4	4	2	2	1	1	1	4	25
OG0002740	1	2	3	3	3	3	4	1	1	1	3	25
OG0002741	3	3	2	2	2	2	2	2	1	2	4	25
OG0002742	1	3	3	3	3	3	0	1	1	5	2	25
OG0002743	3	2	2	2	2	2	4	4	1	0	3	25
OG0002744	3	2	2	2	2	3	3	1	1	2	4	25
OG0002745	22	0	0	0	0	1	2	0	0	0	0	25
OG0002746	15	3	0	2	0	1	0	0	0	4	0	25
OG0002747	1	2	3	3	3	3	5	0	1	1	3	25
OG0002748	7	0	2	4	2	2	0	0	0	8	0	25
OG0002749	3	0	7	4	4	6	0	0	1	0	0	25
OG0002750	25	0	0	0	0	0	0	0	0	0	0	25
OG0002751	1	2	2	2	2	2	1	3	1	6	3	25
OG0002752	2	2	4	3	3	5	2	1	1	1	1	25
OG0002753	2	2	3	3	3	3	1	4	1	2	1	25
OG0002754	1	2	3	3	3	3	2	1	1	2	4	25
OG0002755	1	1	4	3	3	4	1	1	1	3	3	25
OG0002756	1	2	3	3	3	3	2	4	1	2	1	25
OG0002757	1	3	3	4	4	3	1	1	1	2	2	25
OG0002758	2	2	2	2	3	2	1	2	7	1	1	25
OG0002759	1	2	4	4	4	3	2	0	1	2	2	25
OG0002760	2	3	3	3	3	3	2	2	1	2	1	25
OG0002761	1	3	3	3	3	3	3	2	1	1	2	25
OG0002762	1	5	3	3	3	3	1	3	1	1	1	25
OG0002763	1	3	3	5	5	3	2	0	1	1	1	25
OG0002764	2	3	3	4	4	4	5	0	0	0	0	25
OG0002765	4	2	3	3	2	3	3	1	1	1	2	25
OG0002766	2	2	2	2	2	2	3	2	1	2	5	25
OG0002767	3	5	1	1	2	1	4	1	1	2	4	25
OG0002768	1	2	2	3	2	2	1	1	1	3	7	25
OG0002769	2	1	2	2	2	3	8	2	1	2	0	25
OG0002770	2	2	3	4	5	6	1	2	0	0	0	25
OG0002771	1	1	4	4	4	4	2	2	1	1	1	25
OG0002772	3	4	2	2	2	2	3	4	1	1	1	25
OG0002773	2	3	3	3	3	3	2	2	1	1	2	25
OG0002774	1	1	5	4	4	5	1	1	1	1	1	25
OG0002775	1	3	3	3	3	2	2	2	1	1	4	25
OG0002776	1	1	4	4	4	4	3	1	1	1	1	25
OG0002777	1	1	3	3	3	4	4	2	1	1	2	25
OG0002778	3	3	1	1	1	1	1	6	1	3	4	25
OG0002779	1	1	4	3	4	4	1	3	1	2	1	25
OG0002780	1	3	3	3	3	3	2	2	1	2	2	25
OG0002781	2	3	3	3	3	3	1	3	1	2	1	25
OG0002782	1	2	3	3	3	3	4	2	1	1	2	25
OG0002783	1	1	3	3	3	3	2	1	1	6	1	25
OG0002784	1	1	2	2	5	2	2	3	2	4	1	25
OG0002785	1	2	2	3	2	2	2	2	1	2	6	25
OG0002786	1	1	1	3	3	2	1	3	1	0	9	25
OG0002787	1	1	5	3	4	3	1	2	1	2	2	25
OG0002788	1	3	3	3	3	3	1	2	1	3	2	25
OG0002789	2	0	2	8	4	4	0	2	0	3	0	25
OG0002790	1	2	4	3	3	4	2	1	1	3	1	25
OG0002791	1	1	3	4	3	3	2	3	1	3	1	25
OG0002792	1	3	4	3	4	4	1	1	1	1	2	25
OG0002793	1	3	4	3	4	4	1	1	1	1	2	25
OG0002794	2	2	3	3	3	3	2	2	1	2	2	25
OG0002795	1	4	1	1	1	6	0	1	1	3	6	25
OG0002796	2	2	2	3	3	3	2	2	1	1	4	25
OG0002797	2	2	3	3	3	3	2	2	1	2	2	25
OG0002798	1	2	2	2	2	2	3	1	1	5	4	25
OG0002799	2	1	2	4	3	4	2	1	1	2	3	25
OG0002800	1	0	5	5	5	5	1	0	1	1	1	25
OG0002801	2	1	4	4	3	3	2	2	2	1	1	25
OG0002802	1	1	2	1	2	2	4	2	0	10	0	25
OG0002803	1	0	0	9	1	0	0	0	0	14	0	25
OG0002804	1	2	2	2	2	2	3	1	1	6	3	25
OG0002805	2	2	2	2	3	2	3	4	1	1	3	25
OG0002806	1	3	2	5	5	2	2	2	1	1	1	25
OG0002807	1	2	5	5	5	6	1	0	0	0	0	25
OG0002808	1	4	3	3	3	3	5	3	0	0	0	25
OG0002809	1	1	3	4	4	3	5	0	1	1	2	25
OG0002810	2	3	5	3	5	5	2	0	0	0	0	25
OG0002811	1	3	4	4	4	4	1	1	1	1	1	25
OG0002812	1	4	3	3	3	3	3	1	1	1	2	25
OG0002813	1	3	3	5	4	5	1	1	0	1	1	25
OG0002814	1	3	3	3	3	3	2	2	1	3	1	25
OG0002815	1	2	3	3	3	3	2	2	1	2	3	25
OG0002816	1	2	3	3	3	3	3	1	1	4	1	25
OG0002817	1	3	3	3	3	3	2	2	0	4	1	25
OG0002818	1	1	3	3	3	3	2	2	1	2	4	25
OG0002819	1	1	3	1	1	3	1	1	1	5	7	25
OG0002820	1	2	2	2	2	2	3	3	1	3	4	25
OG0002821	1	3	3	3	3	3	3	2	1	1	2	25
